payer_id,age,annual_income_cad,employment_status,marital_status,city,province,loan_amount,interest_rate,loan_term_years,loan_term_months,current_balance,loan_status,monthly_payment,origination_date,maturity_date,delinquency_risk,lender,institution_name,institution_city,institution_province,program_name,field_of_study,program_type,program_difficulty,program_duration_years,graduation_rate,employment_rate_percent,average_starting_salary,total_payments_made,avg_payment_amount,late_payment_count,missed_payment_count,last_payment_date,income_category,age_group,remaining_balance_pct,payment_to_income_ratio_pct,campaign_priority,program_difficulty_label
624,39,0,Unemployed,Single,Red Deer,Alberta,330530.98,6.219,15,180,268487.01,In Deferment,2828.47,2021-09-08,2036-09-08,2.0,Bank of Montreal,University of Ottawa,Ottawa,Ontario,Automotive Technology,Technical,Certificate,1.0,2.0,82.5,82.5,43070.11,22,2828.47,0,0,2023-12-01,Low Income,Mid-Career (35-49),81.23,inf,Immediate Intervention,Low Difficulty
616,40,17707,Part-time,Married,Laval,Quebec,328694.91,8.142,15,180,262305.02,Active,3168.18,2020-12-08,2035-12-08,2.0,Provincial Student Aid,McMaster University,Hamilton,Ontario,Electrical Engineering,Engineering,Bachelor's,3.0,4.0,85.3,85.3,71274.04,11,2880.163636363636,0,1,2023-12-03,Low Income,Mid-Career (35-49),79.8,214.71,Immediate Intervention,High Difficulty
121,18,0,Unemployed,Divorced,Laval,Quebec,323828.14,3.377,20,240,273095.63,Active,1857.67,2021-02-08,2041-02-08,2.0,TD Canada Trust,Memorial University,St. John's,Newfoundland,Marketing,Business,Bachelor's,1.0,4.0,82.9,82.9,47788.43,19,1857.67,0,0,2023-12-01,Low Income,Young Adult (18-24),84.33,inf,Immediate Intervention,Low Difficulty
684,26,72710,Full-time,Common-law,Winnipeg,Manitoba,315959.22,3.079,20,240,250808.8,Active,1764.82,2021-01-08,2041-01-08,2.0,Royal Bank of Canada,Ryerson University,Toronto,Ontario,Elementary Education,Education,Bachelor's,2.0,4.0,87.2,87.2,48470.28,11,1764.82,0,0,2023-12-03,High Income,Young Professional (25-34),79.38,29.13,Immediate Intervention,Medium Difficulty
504,26,41680,Full-time,Single,London,Ontario,312746.83,12.307,20,240,306784.4,Active,3510.78,2023-10-08,2043-10-08,2.0,Bank of Nova Scotia,Dalhousie University,Halifax,Nova Scotia,,,,,,,,,47,2933.28,0,0,2023-12-01,Medium Income,Young Professional (25-34),98.09,101.08,Immediate Intervention,Difficulty nan
794,32,24371,Part-time,Married,Laval,Quebec,312365.06,11.562,25,300,290859.53,Active,3189.26,2018-09-08,2043-09-08,2.0,CIBC,University of Waterloo,Waterloo,Ontario,Chemistry,Science,Bachelor's,3.0,4.0,78.3,78.3,54889.19,23,2911.933043478261,0,2,2023-12-02,Low Income,Young Professional (25-34),93.12,157.04,Immediate Intervention,High Difficulty
822,44,48831,Full-time,Married,Red Deer,Alberta,311153.01,3.001,20,240,229645.67,Active,1725.8,2019-11-08,2039-11-08,2.0,Canada Student Loans Program,University of British Columbia,Vancouver,British Columbia,Network Administration,Technology,Certificate,2.0,2.0,79.4,79.4,53377.98,7,1725.8,0,0,2023-12-03,Medium Income,Mid-Career (35-49),73.8,42.41,Immediate Intervention,Medium Difficulty
769,24,0,Unemployed,Common-law,Victoria,British Columbia,310910.96,4.596,15,180,203415.98,Active,2393.73,2018-12-08,2033-12-08,2.0,RBC Student Banking,University of Alberta,Edmonton,Alberta,Accounting,Business,Bachelor's,2.0,4.0,89.0,89.0,56361.99,3,2393.73,0,0,2023-12-02,Low Income,Young Adult (18-24),65.43,inf,Immediate Intervention,Medium Difficulty
315,41,68467,Full-time,Divorced,Calgary,Alberta,310366.09,11.912,25,300,306674.24,Active,3248.69,2024-02-08,2049-02-08,2.0,National Bank of Canada,NAIT,Edmonton,Alberta,,,,,,,,,47,4527.75,0,0,2023-12-01,Medium Income,Mid-Career (35-49),98.81,56.94,Immediate Intervention,Difficulty nan
670,39,43804,Full-time,Widowed,Victoria,British Columbia,308044.48,8.087,20,240,275220.6,Active,2593.31,2021-11-08,2041-11-08,2.0,Canada Student Loans Program,University of Victoria,Victoria,British Columbia,Dental Hygiene,Healthcare,Associate,2.0,2.0,87.2,87.2,61248.37,14,2593.31,0,0,2023-12-07,Medium Income,Mid-Career (35-49),89.34,71.04,Immediate Intervention,Medium Difficulty
598,35,16991,Part-time,Common-law,Mississauga,Ontario,305169.77,7.072,15,180,248440.72,Active,2755.25,2022-01-08,2037-01-08,2.0,Royal Bank of Canada,McMaster University,Hamilton,Ontario,Business Administration,Business,Bachelor's,1.0,4.0,89.0,89.0,55507.95,22,2755.25,0,0,2023-12-08,Low Income,Mid-Career (35-49),81.41,194.59,Immediate Intervention,Low Difficulty
213,20,52265,Full-time,Single,Calgary,Alberta,305050.43,2.771,25,300,241386.13,Active,1410.51,2018-07-08,2043-07-08,2.0,TD Student Line of Credit,University of Manitoba,Winnipeg,Manitoba,Criminal Justice,Social Sciences,Bachelor's,2.0,4.0,82.2,82.2,45869.85,19,1336.2726315789473,0,1,2023-12-03,Medium Income,Young Adult (18-24),79.13,32.39,Immediate Intervention,Medium Difficulty
308,34,0,Unemployed,Widowed,Mississauga,Ontario,303076.94,4.279,15,180,231536.81,Active,2284.43,2021-10-08,2036-10-08,2.0,Canada Student Loans Program,University of Victoria,Victoria,British Columbia,,,,,,,,,47,2520.94,0,0,2023-12-01,Low Income,Young Professional (25-34),76.4,inf,Immediate Intervention,Difficulty nan
198,39,21644,Part-time,Divorced,London,Ontario,302986.87,9.549,15,180,289177.91,Active,3172.83,2024-05-08,2039-05-08,2.0,RBC Student Banking,University of Alberta,Edmonton,Alberta,,,,,,,,,47,2848.1699999999996,0,0,2023-12-01,Low Income,Mid-Career (35-49),95.44,175.91,Immediate Intervention,Difficulty nan
388,23,50223,Full-time,Common-law,Calgary,Alberta,301037.97,4.6259999999999994,15,180,269328.27,Active,2322.35,2023-08-08,2038-08-08,2.0,Bank of Nova Scotia,Memorial University,St. John's,Newfoundland,,,,,,,,,47,4767.65,0,0,2023-12-02,Medium Income,Young Adult (18-24),89.47,55.49,Immediate Intervention,Difficulty nan
118,34,0,Unemployed,Widowed,Ottawa,Ontario,300765.32,4.4559999999999995,20,240,258062.04,Active,1895.65,2022-02-08,2042-02-08,2.0,RBC Student Banking,York University,Toronto,Ontario,,,,,,,,,47,3747.6699999999996,0,0,2023-12-02,Low Income,Young Professional (25-34),85.8,inf,Immediate Intervention,Difficulty nan
44,23,0,Unemployed,Widowed,Ottawa,Ontario,294255.67,4.249,25,300,256743.1,Active,1593.93,2020-09-08,2045-09-08,2.0,Bank of Nova Scotia,University of Calgary,Calgary,Alberta,,,,,,,,,47,3542.3499999999995,0,0,2023-12-02,Low Income,Young Adult (18-24),87.25,inf,Immediate Intervention,Difficulty nan
176,31,0,Unemployed,Divorced,Victoria,British Columbia,293408.6,7.86,15,180,258683.13,Active,2780.3,2022-10-08,2037-10-08,2.0,Royal Bank of Canada,NAIT,Edmonton,Alberta,Human Resources,Business,Bachelor's,1.0,4.0,84.0,84.0,53249.69,7,2780.3,0,0,2023-12-04,Low Income,Young Professional (25-34),88.16,inf,Immediate Intervention,Low Difficulty
94,40,70993,Full-time,Common-law,Calgary,Alberta,293237.59,3.862,20,240,247356.35,Active,1755.71,2021-06-08,2041-06-08,2.0,TD Student Line of Credit,McGill University,Montreal,Quebec,,,,,,,,,47,3563.05,0,0,2023-12-03,High Income,Mid-Career (35-49),84.35,29.68,Immediate Intervention,Difficulty nan
688,37,0,Unemployed,Widowed,Toronto,Ontario,292838.96,9.308,20,240,239913.29,Active,2693.03,2018-07-08,2038-07-08,2.0,Bank of Montreal,University of Calgary,Calgary,Alberta,Master of Science in Engineering,Engineering,Master's,3.0,2.0,93.0,93.0,87004.95,11,2693.03,0,0,2023-12-02,Low Income,Mid-Career (35-49),81.93,inf,Immediate Intervention,High Difficulty
22,29,60809,Full-time,Married,Laval,Quebec,290045.87,5.475,15,180,240631.65,Active,2366.07,2022-09-08,2037-09-08,2.0,RBC Student Banking,McMaster University,Hamilton,Ontario,,,,,,,,,47,3542.09,0,0,2023-12-03,Medium Income,Young Professional (25-34),82.96,46.69,Immediate Intervention,Difficulty nan
779,27,0,Unemployed,Widowed,Montreal,Quebec,287524.71,3.803,15,180,201976.29,Active,2098.51,2020-06-08,2035-06-08,2.0,Canada Student Loans Program,Ryerson University,Toronto,Ontario,General Studies,Liberal Arts,Bachelor's,1.0,4.0,67.6,67.6,39266.48,7,2098.51,0,0,2023-12-02,Low Income,Young Professional (25-34),70.25,inf,Immediate Intervention,Low Difficulty
512,18,61548,Full-time,Widowed,Burnaby,British Columbia,286711.07,3.718,20,240,227729.47,In Forbearance,1695.11,2020-10-08,2040-10-08,2.0,National Bank of Canada,Ryerson University,Toronto,Ontario,,,,,,,,,47,3886.89,0,0,2023-12-03,Medium Income,Young Adult (18-24),79.43,33.05,Immediate Intervention,Difficulty nan
848,38,16753,Part-time,Common-law,Vancouver,British Columbia,285851.53,7.765,15,180,219242.24,Active,2693.11,2020-12-08,2035-12-08,2.0,TD Student Line of Credit,Carleton University,Ottawa,Ontario,,,,,,,,,47,4788.46,0,0,2023-12-08,Low Income,Mid-Career (35-49),76.7,192.9,Immediate Intervention,Difficulty nan
107,42,0,Unemployed,Common-law,Quebec City,Quebec,285162.0,3.929,15,180,178767.86,Active,2099.18,2019-03-08,2034-03-08,2.0,Bank of Nova Scotia,University of Waterloo,Waterloo,Ontario,Biomedical Engineering,Engineering,Bachelor's,3.0,4.0,87.2,87.2,66515.13,11,2099.18,0,0,2023-12-01,Low Income,Mid-Career (35-49),62.69,inf,Immediate Intervention,High Difficulty
336,25,0,Unemployed,Common-law,London,Ontario,284216.44,11.768,15,180,263266.75,In Forbearance,3368.77,2022-09-08,2037-09-08,2.0,Provincial Student Aid,University of Ottawa,Ottawa,Ontario,Chemical Engineering,Engineering,Bachelor's,3.0,4.0,88.5,88.5,73095.5,11,3368.77,0,0,2023-12-02,Low Income,Young Professional (25-34),92.63,inf,Immediate Intervention,High Difficulty
820,26,55121,Full-time,Married,Calgary,Alberta,283073.75,4.216,15,180,217365.43,Active,2124.63,2020-11-08,2035-11-08,2.0,RBC Student Banking,University of Toronto,Toronto,Ontario,Business Administration,Business,Bachelor's,1.0,4.0,89.0,89.0,55507.95,14,2124.63,0,0,2023-12-03,Medium Income,Young Professional (25-34),76.79,46.25,Immediate Intervention,Low Difficulty
43,24,55726,Full-time,Divorced,Montreal,Quebec,282547.77,4.335,25,300,231285.24,Active,1544.15,2019-05-08,2044-05-08,2.0,TD Canada Trust,University of Toronto,Toronto,Ontario,Criminal Justice,Social Sciences,Bachelor's,2.0,4.0,82.2,82.2,45869.85,19,1544.15,0,0,2023-12-01,Medium Income,Young Adult (18-24),81.86,33.25,Immediate Intervention,Medium Difficulty
341,40,59151,Full-time,Married,Surrey,British Columbia,282023.86,8.199,25,300,260819.87,Active,2214.01,2020-05-08,2045-05-08,2.0,Bank of Montreal,Dalhousie University,Halifax,Nova Scotia,,,,,,,,,48,1868.43,0,0,2023-12-02,Medium Income,Mid-Career (35-49),92.48,44.92,Immediate Intervention,Difficulty nan
227,43,24801,Part-time,Married,Ottawa,Ontario,273893.36,5.76,20,240,242586.49,Active,1924.52,2022-06-08,2042-06-08,2.0,Bank of Montreal,University of Ottawa,Ottawa,Ontario,Nursing,Healthcare,Bachelor's,2.0,4.0,92.5,92.5,65996.75,15,1924.52,0,0,2023-12-03,Low Income,Mid-Career (35-49),88.57,93.12,Immediate Intervention,Medium Difficulty
911,18,0,Unemployed,Divorced,Winnipeg,Manitoba,273173.95,6.636,15,180,210091.46,Active,2400.11,2020-05-08,2035-05-08,2.0,Royal Bank of Canada,NAIT,Edmonton,Alberta,Chemistry,Science,Bachelor's,3.0,4.0,78.3,78.3,54889.19,3,2400.11,0,0,2023-12-04,Low Income,Young Adult (18-24),76.91,inf,Immediate Intervention,High Difficulty
683,21,70331,Full-time,Single,Ottawa,Ontario,273118.22,6.62,20,240,239431.82,Active,2055.64,2020-11-08,2040-11-08,2.0,Scotiabank Student Line of Credit,Queen's University,Kingston,Ontario,Business Administration,Business,Bachelor's,1.0,4.0,89.0,89.0,55507.95,23,2055.64,0,0,2023-12-03,High Income,Young Adult (18-24),87.67,35.07,Immediate Intervention,Low Difficulty
63,33,0,Unemployed,Divorced,Hamilton,Ontario,267513.01,3.907,15,180,185653.86,Active,1966.32,2019-10-08,2034-10-08,2.0,Scotiabank Student Line of Credit,University of Saskatchewan,Saskatoon,Saskatchewan,Physics,Science,Bachelor's,3.0,4.0,73.4,73.4,52697.17,10,1966.3200000000002,0,0,2023-12-03,Low Income,Young Professional (25-34),69.4,inf,Immediate Intervention,High Difficulty
348,28,40994,Full-time,Widowed,Edmonton,Alberta,265389.76,8.368,15,180,210325.01,Active,2592.9,2020-05-08,2035-05-08,2.0,Provincial Student Aid,University of Waterloo,Waterloo,Ontario,Marketing,Business,Bachelor's,1.0,4.0,82.9,82.9,47788.43,11,2592.9,0,0,2023-12-07,Medium Income,Young Professional (25-34),79.25,75.9,Immediate Intervention,Low Difficulty
766,44,69154,Full-time,Single,Brandon,Manitoba,265168.92,7.179,20,240,228632.84,Active,2084.44,2021-03-08,2041-03-08,2.0,Royal Bank of Canada,McGill University,Montreal,Quebec,Psychology,Social Sciences,Bachelor's,2.0,4.0,78.4,78.4,44256.05,11,2084.44,0,0,2023-12-03,Medium Income,Mid-Career (35-49),86.22,36.17,Immediate Intervention,Medium Difficulty
331,30,55423,Full-time,Common-law,Surrey,British Columbia,262873.72,3.749,15,180,216497.21,Active,1911.55,2022-12-08,2037-12-08,2.0,RBC Student Banking,McGill University,Montreal,Quebec,,,,,,,,,47,2698.11,0,0,2023-12-05,Medium Income,Young Professional (25-34),82.36,41.39,Immediate Intervention,Difficulty nan
398,22,17886,Part-time,Widowed,Edmonton,Alberta,261444.09,3.763,15,180,187445.64,Active,1902.97,2021-02-08,2036-02-08,2.0,Canada Student Loans Program,University of British Columbia,Vancouver,British Columbia,Physics,Science,Bachelor's,3.0,4.0,73.4,73.4,52697.17,3,1902.97,0,0,2023-12-03,Low Income,Young Adult (18-24),71.7,127.67,Immediate Intervention,High Difficulty
889,39,0,Unemployed,Widowed,London,Ontario,261047.85,3.843,15,180,207888.11,In Deferment,1910.47,2021-12-08,2036-12-08,2.0,TD Student Line of Credit,University of British Columbia,Vancouver,British Columbia,Chemical Engineering,Engineering,Bachelor's,3.0,4.0,88.5,88.5,73095.5,6,1910.47,0,0,2023-12-01,Low Income,Mid-Career (35-49),79.64,inf,Immediate Intervention,High Difficulty
248,31,0,Unemployed,Divorced,Victoria,British Columbia,260979.45,9.84,20,240,234491.48,Active,2490.91,2020-11-08,2040-11-08,2.0,CIBC,Simon Fraser University,Burnaby,British Columbia,Medical Assistant,Healthcare,Certificate,1.0,1.0,86.8,86.8,36563.35,11,2490.91,0,0,2023-12-02,Low Income,Young Professional (25-34),89.85,inf,Immediate Intervention,Low Difficulty
784,27,16300,Part-time,Single,Laval,Quebec,259482.75,4.267,20,240,198802.17,Active,1609.16,2019-06-08,2039-06-08,2.0,Provincial Student Aid,Queen's University,Kingston,Ontario,Juris Doctor (Law),Law,Professional,3.0,3.0,78.8,78.8,75387.23,11,1609.16,0,0,2023-12-01,Low Income,Young Professional (25-34),76.61,118.47,Immediate Intervention,High Difficulty
238,32,20015,Part-time,Single,Mississauga,Ontario,257331.25,4.356,15,180,191900.08,Active,1949.68,2021-06-08,2036-06-08,2.0,Bank of Montreal,Ryerson University,Toronto,Ontario,Social Work,Social Sciences,Bachelor's,2.0,4.0,81.7,81.7,47749.46,19,1949.6799999999998,0,0,2023-12-01,Low Income,Young Professional (25-34),74.57,116.89,Immediate Intervention,Medium Difficulty
954,42,0,Unemployed,Common-law,Winnipeg,Manitoba,256678.17,3.542,15,180,171304.18,Active,1840.25,2020-06-08,2035-06-08,2.0,CIBC,Memorial University,St. John's,Newfoundland,General Studies,Liberal Arts,Bachelor's,1.0,4.0,67.6,67.6,39266.48,7,1840.25,0,0,2023-12-01,Low Income,Mid-Career (35-49),66.74,inf,Immediate Intervention,Low Difficulty
882,32,42807,Full-time,Married,Mississauga,Ontario,254946.29,2.806,20,240,226053.76,Active,1389.3,2023-05-08,2043-05-08,2.0,Bank of Montreal,Queen's University,Kingston,Ontario,,,,,,,,,47,1627.02,0,0,2023-12-01,Medium Income,Young Professional (25-34),88.67,38.95,Immediate Intervention,Difficulty nan
306,25,0,Unemployed,Common-law,Burnaby,British Columbia,253595.61,10.645,15,180,191429.9,Active,2826.08,2020-01-08,2035-01-08,2.0,Bank of Montreal,University of Calgary,Calgary,Alberta,Master of Social Work,Social Sciences,Master's,2.0,2.0,88.4,88.4,55944.69,3,2826.08,0,0,2023-12-01,Low Income,Young Professional (25-34),75.49,inf,Immediate Intervention,Medium Difficulty
161,23,0,Unemployed,Common-law,Hamilton,Ontario,253349.75,8.699,20,240,209420.14,Active,2230.64,2018-07-08,2038-07-08,2.0,Canada Student Loans Program,University of Saskatchewan,Saskatoon,Saskatchewan,Master of Education,Education,Master's,2.0,2.0,89.0,89.0,62772.62,7,2230.64,0,0,2023-12-05,Low Income,Young Adult (18-24),82.66,inf,Immediate Intervention,Medium Difficulty
264,36,0,Unemployed,Married,Lethbridge,Alberta,253223.09,5.444,15,180,175708.37,In Deferment,2061.53,2020-05-08,2035-05-08,2.0,BMO Student Banking Program,Carleton University,Ottawa,Ontario,Dental Hygiene,Healthcare,Associate,2.0,2.0,87.2,87.2,61248.37,7,2061.53,0,0,2023-12-03,Low Income,Mid-Career (35-49),69.39,inf,Immediate Intervention,Medium Difficulty
291,33,19570,Part-time,Married,Calgary,Alberta,251319.98,7.7,15,180,168643.3,Active,2358.42,2019-05-08,2034-05-08,2.0,Bank of Montreal,Concordia University,Montreal,Quebec,Architecture,Design,Bachelor's,3.0,5.0,68.1,68.1,64043.12,2,2358.42,0,0,2023-12-02,Low Income,Young Professional (25-34),67.1,144.61,Immediate Intervention,High Difficulty
88,38,0,Unemployed,Married,Surrey,British Columbia,250870.49,6.145,15,180,250870.49,In Grace Period,2136.69,2026-04-08,2041-04-08,2.0,Bank of Nova Scotia,University of Alberta,Edmonton,Alberta,,,,,,,,,47,2704.45,0,0,2023-12-01,Low Income,Mid-Career (35-49),100.0,inf,Immediate Intervention,Difficulty nan
867,43,53390,Full-time,Common-law,Laval,Quebec,250781.41,7.767,15,180,192351.22,Active,2362.99,2020-07-08,2035-07-08,2.0,RBC Student Banking,Carleton University,Ottawa,Ontario,Pre-Medicine,Science,Bachelor's,3.0,4.0,63.0,63.0,45054.86,18,2362.99,0,0,2023-12-04,Medium Income,Mid-Career (35-49),76.7,53.11,Immediate Intervention,High Difficulty
671,32,19773,Part-time,Single,Winnipeg,Manitoba,249664.5,6.895,15,180,196234.83,Active,2229.42,2021-07-08,2036-07-08,2.0,Provincial Student Aid,University of Saskatchewan,Saskatoon,Saskatchewan,,,,,,,,,47,2661.34,0,0,2023-12-02,Low Income,Young Professional (25-34),78.6,135.3,Immediate Intervention,Difficulty nan
679,21,0,Unemployed,Divorced,Victoria,British Columbia,247482.49,9.369,15,180,211732.56,Active,2564.75,2021-11-08,2036-11-08,2.0,CIBC,University of Calgary,Calgary,Alberta,Master of Education,Education,Master's,2.0,2.0,89.0,89.0,62772.62,10,2564.75,0,0,2023-12-02,Low Income,Young Adult (18-24),85.55,inf,Immediate Intervention,Medium Difficulty
71,26,0,Unemployed,Divorced,Red Deer,Alberta,244290.41,3.931,15,180,195972.12,Active,1798.55,2021-07-08,2036-07-08,2.0,Bank of Nova Scotia,Carleton University,Ottawa,Ontario,Accounting,Business,Bachelor's,2.0,4.0,89.0,89.0,56361.99,19,1798.55,0,0,2023-12-04,Low Income,Young Professional (25-34),80.22,inf,Immediate Intervention,Medium Difficulty
607,22,61544,Full-time,Divorced,Victoria,British Columbia,238173.87,4.034,25,300,212027.81,Active,1261.65,2021-06-08,2046-06-08,2.0,Canada Student Loans Program,Ryerson University,Toronto,Ontario,Mechanical Engineering,Engineering,Bachelor's,3.0,4.0,84.3,84.3,68800.56,23,1261.65,0,0,2023-12-02,Medium Income,Young Adult (18-24),89.02,24.6,Immediate Intervention,High Difficulty
79,33,22120,Part-time,Single,Laval,Quebec,237515.57,6.012,20,240,180123.16,Active,1703.28,2018-12-08,2038-12-08,2.0,Bank of Montreal,University of Toronto,Toronto,Ontario,Mathematics,Science,Bachelor's,3.0,4.0,73.0,73.0,59771.34,19,1703.28,0,0,2023-12-01,Low Income,Young Professional (25-34),75.84,92.4,Immediate Intervention,High Difficulty
294,40,22189,Part-time,Single,Quebec City,Quebec,235175.01,4.754,25,300,231852.17,Active,1341.31,2025-02-08,2050-02-08,2.0,Canada Student Loans Program,Simon Fraser University,Burnaby,British Columbia,,,,,,,,,47,6140.910000000001,0,0,2023-12-02,Low Income,Mid-Career (35-49),98.59,72.54,Immediate Intervention,Difficulty nan
740,24,18255,Part-time,Divorced,Brandon,Manitoba,234595.31,3.997,15,180,224915.89,Active,1734.92,2024-12-08,2039-12-08,2.0,National Bank of Canada,University of Victoria,Victoria,British Columbia,,,,,,,,,46,4631.58,0,0,2023-12-03,Low Income,Young Adult (18-24),95.87,114.05,Immediate Intervention,Difficulty nan
178,34,21768,Part-time,Married,Hamilton,Ontario,234082.78,3.37,15,180,168757.23,Active,1658.51,2021-04-08,2036-04-08,2.0,Royal Bank of Canada,Queen's University,Kingston,Ontario,Elementary Education,Education,Bachelor's,2.0,4.0,87.2,87.2,48470.28,10,1658.5099999999998,0,0,2023-12-01,Low Income,Young Professional (25-34),72.09,91.43,Immediate Intervention,Medium Difficulty
696,28,0,Unemployed,Widowed,Toronto,Ontario,233757.93,3.73,20,240,171666.07,Active,1383.49,2019-06-08,2039-06-08,2.0,Provincial Student Aid,Memorial University,St. John's,Newfoundland,Communications,Liberal Arts,Bachelor's,1.0,4.0,75.2,75.2,43205.15,0,0.0,0,0,Never,Low Income,Young Professional (25-34),73.44,inf,Immediate Intervention,Low Difficulty
64,35,45250,Full-time,Widowed,Calgary,Alberta,233175.43,4.455,15,180,144638.39,Active,1778.42,2019-06-08,2034-06-08,2.0,National Bank of Canada,Carleton University,Ottawa,Ontario,Psychology,Social Sciences,Bachelor's,2.0,4.0,78.4,78.4,44256.05,7,1778.42,0,0,2023-12-01,Medium Income,Mid-Career (35-49),62.03,47.16,Immediate Intervention,Medium Difficulty
154,29,17397,Part-time,Married,Lethbridge,Alberta,233065.37,3.746,15,180,144112.79,Active,1694.44,2019-02-08,2034-02-08,2.0,Canada Student Loans Program,Dalhousie University,Halifax,Nova Scotia,Biomedical Engineering,Engineering,Bachelor's,3.0,4.0,87.2,87.2,66515.13,11,1386.3600000000001,0,2,2023-12-03,Low Income,Young Professional (25-34),61.83,116.88,Immediate Intervention,High Difficulty
877,19,0,Unemployed,Single,Quebec City,Quebec,232132.66,5.613,20,240,184274.15,Active,1611.66,2020-01-08,2040-01-08,2.0,Bank of Montreal,University of Toronto,Toronto,Ontario,,,,,,,,,47,4491.81,0,0,2023-12-02,Low Income,Young Adult (18-24),79.38,inf,Immediate Intervention,Difficulty nan
905,43,0,Unemployed,Common-law,Steinbach,Manitoba,230778.0,5.361,20,240,190273.07,Active,1569.43,2019-12-08,2039-12-08,2.0,Bank of Nova Scotia,University of Alberta,Edmonton,Alberta,Marketing,Business,Bachelor's,1.0,4.0,82.9,82.9,47788.43,22,1569.43,0,0,2023-12-03,Low Income,Mid-Career (35-49),82.45,inf,Immediate Intervention,Low Difficulty
